bid,longitude,latitude,hours,lid,name,address,postalCode,stars,reviewCount,isOpen
MTSW4McQd7CbVtyjqoe9mw,75.1555641,39.9555052,"{Monday:7:020:0,Tuesday:7:020:0,Wednesday:7:020:0,Thursday:7:020:0,Friday:7:021:0,Saturday:7:021:0,Sunday:7:021:0}",445,St Honore Pastries,935 Race St,19107,4,80,1
CF33F8E6oudUQ46HnavjQ,87.058943,36.269593,"{Monday:0:00:0,Tuesday:6:022:0,Wednesday:6:022:0,Thursday:6:022:0,Friday:9:00:0,Saturday:9:022:0,Sunday:8:022:0}",12,Sonic DriveIn,615 S Main St,37015,2,6,1
k0hlBqXXBt0vf1op7Jr1w,90.3210868,38.5651648,,3,Tsevi's Pub And Grill,8025 Mackenzie Rd,63123,3,19,0
bBDDEgkFA1Otx9Lfe7BZUQ,86.7681696,36.2081024,"{Monday:0:00:0,Tuesday:6:021:0,Wednesday:6:021:0,Thursday:6:016:0,Friday:6:016:0,Saturday:6:017:0,Sunday:6:021:0}",393,Sonic DriveIn,2312 Dickerson Pike,37207,1.5,10,1
eEOYSgkmpB90uNA7lDOMRA,82.4563199,27.9552692,"{Monday:11:014:0,Tuesday:11:014:0,Wednesday:11:014:0,Thursday:11:014:0,Friday:11:014:0,Saturday:5:010:0,Sunday:15:018:0}",578,Vietnamese Food Truck,,33602,4,10,1
il_Ro8jwPlHresjw9EGmBg,86.12721741,39.63713328,"{Monday:6:022:0,Tuesday:6:022:0,Wednesday:6:022:0,Thursday:6:022:0,Friday:6:022:0,Saturday:6:022:0,Sunday:6:022:0}",272,Denny's,8901 US 31 S,46227,2.5,28,1
0bPLkL0QhhPO5kt1_EXmNQ,82.7604608,27.9161159,"{Monday:10:018:0,Tuesday:10:020:0,Wednesday:10:020:0,Thursday:10:020:0,Friday:10:020:0,Saturday:10:020:0}",308,Zio's Italian Market,2575 E Bay Dr,33771,4.5,28,0
MUTTqe8uqyMdBl186RmNeA,75.1432262,39.953949,"{Tuesday:13:3022:0,Wednesday:13:3022:0,Thursday:13:3022:0,Friday:13:3023:0,Saturday:13:3023:0,Sunday:13:3022:0}",445,Tuna Bar,205 Race St,19106,4,245,1
ROeacJQwBeh05Rqg7F6TCg,75.162568,39.943223,"{Monday:11:3020:30,Tuesday:11:3020:30,Wednesday:11:3020:30,Thursday:11:3020:30,Friday:11:3020:30,Saturday:11:3020:30}",445,BAP,1224 South St,19147,4.5,205,1
WKMJwqnfZKsAae75RMP6jA,113.4991693,53.5460453,"{Monday:8:018:0,Tuesday:8:018:0,Wednesday:8:018:0,Thursday:8:018:0,Friday:8:018:0,Saturday:8:018:0,Sunday:10:017:0}",163,Roast Coffeehouse and Wine Bar,10359 104 Street NW,T5J 1B9,4,40,0
kfNvJZpuN6TVNSO6hHdkw,86.0530799,39.90432032,"{Monday:11:021:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:021:0,Friday:11:021:0,Saturday:11:021:0}",272,Hibachi Express,6625 E 82nd St,46250,4,20,1
9OG5YkX1g2GReZM0AskizA,119.7893392,39.4761165,"{Monday:11:022:0,Tuesday:11:022:0,Wednesday:10:022:0,Thursday:11:020:0,Friday:11:021:0,Saturday:12:021:0,Sunday:11:021:0}",474,Romano's Macaroni Grill,5505 S Virginia St,89502,2.5,339,1
4iRzR7OaSQaSXuvYxEGKA,86.7199857,36.2485696,,393,Super Dog,1160 Gallatin Pike S,37115,4,6,0
tMkwHmWFUEXrC9ZduonpTg,86.7731974,36.1598858,"{Wednesday:16:022:0,Thursday:16:022:0,Friday:16:023:0,Saturday:16:023:0}",393,The Green Pheasant,215 1st Ave S,37201,4,161,0
QdN72BWoyFypdGJhhI5r7g,75.15744656,39.93982457,"{Monday:16:00:0,Tuesday:16:00:0,Wednesday:16:00:0,Thursday:12:00:0,Friday:12:02:0,Saturday:11:02:0,Sunday:11:00:0}",445,Bar One,767 S 9th St,19147,4,65,0
sqSqqLy0sN8n2IZrAbzidQ,86.65918689,36.46474676,"{Monday:10:00:0,Tuesday:10:00:0,Wednesday:10:00:0,Thursday:10:00:0,Friday:10:01:0,Saturday:10:01:0,Sunday:10:00:0}",662,Domino's Pizza,3001 Highway 31 W,37188,3.5,8,1
Mjboz24M9NlBeiOJKLEd_Q,75.218314,40.0224662,"{Tuesday:17:021:30,Wednesday:17:01:30,Thursday:17:01:30,Friday:17:00:30,Saturday:17:00:30,Sunday:17:021:30}",445,DeSandro on Main,4105 Main St,19127,3,41,0
kV_Q1oqis8Qli8dUoGpTyQ,75.289671,40.0067071,"{Monday:11:00:0,Tuesday:11:00:0,Wednesday:11:00:0,Thursday:11:00:0,Friday:11:01:0,Saturday:11:01:0,Sunday:11:00:0}",10,Ardmore Pizza,10 Rittenhouse Pl,19003,3.5,109,1
aPNXGTDkf4bjhyMBQxqpQ,75.1356571,39.9625821,"{Monday:0:00:0,Wednesday:16:022:0,Thursday:16:022:0,Friday:16:019:0,Saturday:11:023:0,Sunday:11:020:0}",445,Craft Hall,901 N Delaware Ave,19123,3.5,65,1
2xVsWBNFwZOxIOdd9Mwnww,75.630607,40.029962,,175,Cheeseburger In Paradise,116 N Pottstown Pike,19341,2.5,20,0
